,Title,Studio,Opening,Date,Director,Budget,imdbID,month,year,Actor,Genre,Writer
60,The Croods,Fox,"$43,639,736",3/22/2013,,,,4,2017,,,
62,The Mummy,Uni.,"$43,369,635",5/7/1999,,,,6,2011,,,
63,Hitch,Sony,"$43,142,214",2/11/2005,,,,5,2013,,,
64,Batman and Robin,WB,"$42,872,605",6/20/1997,,,,4,2014,,,
65,Terminator Salvation,WB,"$42,558,390",5/21/2009,,,,8,2014,,,
66,Hotel Transylvania,Sony,"$42,522,194",9/28/2012,,,,11,2017,,,
68,Shrek,DW,"$42,347,760",5/16/2001,,,,5,2014,,,
70,Anger Management,SonR,"$42,220,847",4/11/2003,,,,5,2014,,,
71,High School Musical 3: Senior Year,BV,"$42,030,184",10/24/2008,,,,5,2014,,,
72,The Conjuring,WB (NL),"$41,855,326",7/19/2013,,,,6,2015,,,
74,Ice Age: Dawn of the Dinosaurs,Fox,"$41,690,382",7/1/2009,,,,5,2011,,,
75,The Hangover Part III,WB,"$41,671,198",5/23/2013,,,,1,2015,,,
76,Ocean's 8,WB,"$41,607,378",6/8/2018,,,,3,2017,,,
77,Big Daddy,Sony,"$41,536,370",6/25/1999,,,,11,2012,,,
80,Grown Ups 2,Sony,"$41,508,572",7/12/2013,,,,4,2011,,,
81,The Perfect Storm,WB,"$41,325,042",6/30/2000,,,,5,2011,,,
82,Kung Fu Panda 3,Fox,"$41,282,042",1/29/2016,,,,11,2013,,,
84,Deep Impact,Par.,"$41,152,375",5/8/1998,,,,2,2015,,,
85,Shutter Island,Par.,"$41,062,440",2/19/2010,,,,11,2016,,,
87,Independence Day: Resurgence,Fox,"$41,039,944",6/24/2016,,,,12,2012,,,
88,Tyler Perry's Madea Goes to Jail,LGF,"$41,030,947",2/20/2009,,,,5,2018,,,
90,Casino Royale,Sony,"$40,833,156",11/17/2006,,,,7,2013,,,
91,Paranormal Activity 2,Par.,"$40,678,424",10/22/2010,,,,6,2013,,,
93,Grown Ups,Sony,"$40,506,562",6/25/2010,,,,3,2013,,,
100,Power Rangers (2017),LGF,"$40,300,288",3/24/2017,,,,3,2016,,,
101,Insidious Chapter 2,FD,"$40,272,103",9/13/2013,,,,11,2016,,,
103,Safe House,Uni.,"$40,172,720",2/10/2012,,,,12,2013,,,
106,Cloverfield,Par.,"$40,058,229",1/18/2008,,,,7,2014,,,
107,Chicken Little,BV,"$40,049,778",11/4/2005,,,,6,2017,,,
6,50 First Dates,Sony,"$39,852,237",2/13/2004,"Anthony Russo, Joe Russo",,tt4154756,4,2018,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Fantasy","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)"
7,The Revenant,Fox,"$39,826,840",1/8/2016,J.J. Abrams,,tt2488496,12,2015,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver","Action, Adventure, Fantasy","Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)"
8,Wild Hogs,BV,"$39,699,023",3/2/2007,Rian Johnson,,tt2527336,12,2017,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Action, Adventure, Fantasy","Rian Johnson, George Lucas (based on characters created by)"
9,Sherlock Holmes: A Game of Shadows,WB,"$39,637,079",12/16/2011,Colin Trevorrow,,tt0369610,6,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","Action, Adventure, Sci-Fi","Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)"
10,The Waterboy,BV,"$39,414,071",11/6/1998,,,,5,2012,,,
11,Rio 2,Fox,"$39,327,869",4/11/2014,Ryan Coogler,,tt1825683,2,2018,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","Action, Adventure, Sci-Fi","Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel Comics by), Jack Kirby (based on the Marvel Comics by)"
12,Rio,Fox,"$39,225,962",4/15/2011,Joss Whedon,,tt2395427,5,2015,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Sci-Fi","Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)"
13,Taken 3,Fox,"$39,201,657",1/9/2015,Brad Bird,,tt3606756,6,2018,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","Animation, Action, Adventure",Brad Bird
14,The Break-Up,Uni.,"$39,172,785",6/2/2006,"Anthony Russo, Joe Russo",,tt3498820,5,2016,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Action, Adventure, Sci-Fi","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)"
15,The Good Dinosaur,BV,"$39,155,217",11/25/2015,,,,3,2017,,,
16,Ocean's Twelve,WB,"$39,153,380",12/10/2004,Shane Black,,tt1300854,5,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Action, Adventure, Sci-Fi","Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)"
17,The Grudge,Sony,"$39,128,715",10/22/2004,David Yates,,tt1201607,7,2011,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Adventure, Drama, Fantasy","Steve Kloves (screenplay), J.K. Rowling (novel)"
18,Magic Mike,WB,"$39,127,170",6/29/2012,Zack Snyder,,tt2975590,3,2016,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Action, Adventure, Fantasy","Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)"
19,The Heat,Fox,"$39,115,043",6/28/2013,Christopher Nolan,,tt1345836,7,2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Action, Thriller","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)"
21,Dinosaur,BV,"$38,854,851",5/19/2000,Francis Lawrence,,tt1951264,11,2013,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair","Action, Adventure, Mystery","Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)"
22,Daddy's Home,Par.,"$38,740,203",12/25/2015,Gareth Edwards,,tt3748528,12,2016,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Action, Adventure, Sci-Fi","Chris Weitz (screenplay by), Tony Gilroy (screenplay by), John Knoll (story by), Gary Whitta (story by), George Lucas (based on characters created by)"
23,Get Smart,WB,"$38,683,480",6/20/2008,Gary Ross,,tt1392170,3,2012,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields","Adventure, Sci-Fi, Thriller","Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)"
25,You Don't Mess with the Zohan,Sony,"$38,531,374",6/6/2008,J.A. Bayona,,tt4881806,6,2018,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","Action, Adventure, Sci-Fi","Derek Connolly, Colin Trevorrow, Michael Crichton (based on characters created by)"
26,The Legend of Tarzan,WB,"$38,527,856",7/1/2016,James Wan,,tt2820852,4,2015,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez","Action, Crime, Thriller","Chris Morgan, Gary Scott Thompson (characters)"
27,Over the Hedge,P/DW,"$38,457,003",5/19/2006,James Gunn,,tt3896198,5,2017,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","Action, Adventure, Sci-Fi","James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)"
29,Alien Vs. Predator,Fox,"$38,291,056",8/13/2004,Bill Condon,,tt1673434,11,2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","Adventure, Drama, Fantasy","Melissa Rosenberg (screenplay), Stephenie Meyer (novel)"
30,The Angry Birds Movie,Sony,"$38,155,177",5/20/2016,N/A,,tt2395475,11,2011,Juley Ross,Short,N/A
32,Ocean's Eleven,WB,"$38,107,822",12/7/2001,,,,6,2016,,,
33,Rango,Par.,"$38,079,323",3/4/2011,,,,8,2016,,,
34,Inglourious Basterds,Wein.,"$38,054,676",8/21/2009,,,,2,2016,,,
35,Bee Movie,P/DW,"$38,021,044",11/2/2007,,,,5,2010,,,
36,Lone Survivor,Uni.,"$37,849,910",1/10/2014,,,,5,2018,,,
37,Ace Ventura: When Nature Calls,WB,"$37,804,076",11/10/1995,,,,11,2010,,,
38,Charlie's Angels: Full Throttle,Sony,"$37,634,221",6/27/2003,,,,9,2017,,,
39,Hop,Uni.,"$37,543,710",4/1/2011,,,,11,2017,,,
40,Gone Girl,Fox,"$37,513,109",10/3/2014,,,,11,2014,,,
42,Pacific Rim,WB,"$37,285,325",7/12/2013,,,,7,2017,,,
43,Mr. Deeds,Sony,"$37,162,787",6/28/2002,,,,6,2013,,,
44,Annabelle,WB (NL),"$37,134,255",10/3/2014,,,,3,2010,,,
45,Air Force One,Sony,"$37,132,505",7/25/1997,,,,7,2015,,,
48,Red Dragon,Uni.,"$36,540,945",10/4/2002,,,,6,2010,,,
52,Marley and Me,Fox,"$36,357,586",12/25/2008,,,,7,2016,,,
53,21 Jump Street,Sony,"$36,302,612",3/16/2012,,,,4,2016,,,
54,Kingsman: The Secret Service,Fox,"$36,206,331",2/13/2015,,,,6,2017,,,
57,Ocean's Thirteen,WB,"$36,133,403",6/8/2007,,,,11,2015,,,
59,Armageddon,BV,"$36,089,972",7/1/1998,,,,6,2014,,,
60,The Scorpion King,Uni.,"$36,075,875",4/19/2002,,,,4,2017,,,
62,Robots,Fox,"$36,045,301",3/11/2005,,,,6,2011,,,
63,Salt,Sony,"$36,011,243",7/23/2010,,,,5,2013,,,
64,Star Wars (Special Edition),Fox,"$35,906,661",1/31/1997,,,,4,2014,,,
65,"10,000 B.C.",WB,"$35,867,488",3/7/2008,,,,8,2014,,,
66,Rampage (2018),WB (NL),"$35,753,093",4/13/2018,,,,11,2017,,,
68,Sweet Home Alabama,BV,"$35,648,740",9/27/2002,,,,5,2014,,,
70,Battle: Los Angeles,Sony,"$35,573,187",3/11/2011,,,,5,2014,,,
71,The Other Guys,Sony,"$35,543,162",8/6/2010,,,,5,2014,,,
72,Central Intelligence,WB (NL),"$35,535,250",6/17/2016,,,,6,2015,,,
74,Super 8,Par.,"$35,451,168",6/10/2011,,,,5,2011,,,
75,Teenage Mutant Ninja Turtles: Out of the Shadows,Par.,"$35,316,382",6/3/2016,,,,1,2015,,,
76,Lilo & Stitch,BV,"$35,260,212",6/21/2002,,,,3,2017,,,
77,Sing,Uni.,"$35,258,145",12/21/2016,,,,11,2012,,,
80,The Ring Two,DW,"$35,065,237",3/18/2005,,,,4,2011,,,
81,Runaway Bride,Par.,"$35,055,556",7/30/1999,,,,5,2011,,,
82,Sully,WB,"$35,028,301",9/9/2016,,,,11,2013,,,
84,The Expendables,LGF,"$34,825,135",8/13/2010,,,,2,2015,,,
85,Gladiator,DW,"$34,819,017",5/5/2000,,,,11,2016,,,
87,The Magnificent Seven (2016),Sony,"$34,703,397",9/23/2016,,,,12,2012,,,
88,Identity Thief,Uni.,"$34,551,025",2/8/2013,,,,5,2018,,,
90,Enchanted,BV,"$34,440,317",11/21/2007,,,,7,2013,,,
91,Couples Retreat,Uni.,"$34,286,740",10/9/2009,,,,6,2013,,,
93,I Now Pronounce You Chuck and Larry,Uni.,"$34,233,750",7/20/2007,,,,3,2013,,,
100,The Purge,Uni.,"$34,058,360",6/7/2013,,,,3,2016,,,
101,Lethal Weapon 4,WB,"$34,048,124",7/10/1998,,,,11,2016,,,
103,Wedding Crashers,NL,"$33,900,720",7/15/2005,,,,12,2013,,,
106,Think Like a Man,SGem,"$33,636,303",4/20/2012,,,,7,2014,,,
107,The Proposal,BV,"$33,627,598",6/19/2009,,,,6,2017,,,
111,The Green Hornet,Sony,"$33,526,876",1/14/2011,,,,5,2010,,,
114,Wrath of the Titans,WB,"$33,457,188",3/30/2012,,,,11,2015,,,
116,Spy Kids 3D: Game Over,Dim.,"$33,417,739",7/25/2003,,,,3,2012,,,
117,Get Out,Uni.,"$33,377,060",2/24/2017,,,,5,2013,,,
119,American Wedding,Uni.,"$33,369,440",8/1/2003,,,,5,2014,,,
121,Lethal Weapon 3,WB,"$33,243,086",5/15/1992,,,,5,2015,,,
122,A Wrinkle in Time,BV,"$33,123,609",3/9/2018,,,,2,2014,,,
129,The Book of Eli,WB,"$32,789,494",1/15/2010,,,,3,2015,,,
132,Due Date,WB,"$32,689,406",11/5/2010,,,,11,2013,,,
133,Blade II,NL,"$32,528,016",3/22/2002,,,,6,2013,,,
134,The Maze Runner,Fox,"$32,512,804",9/19/2014,,,,6,2012,,,
135,Hannah Montana The Movie,BV,"$32,324,487",4/10/2009,,,,6,2011,,,
136,Mr. Peabody & Sherman,Fox,"$32,207,057",3/7/2014,,,,5,2016,,,
137,Immortals,Rela.,"$32,206,425",11/11/2011,,,,5,2011,,,
138,Jackass Presents: Bad Grandpa,Par.,"$32,055,177",10/25/2013,,,,8,2014,,,
141,Terminator 2: Judgment Day,TriS,"$31,765,506",7/3/1991,,,,7,2011,,,
143,Saw II,Lions,"$31,725,652",10/28/2005,,,,6,2010,,,
147,The Truman Show,Par.,"$31,542,121",6/5/1998,,,,5,2017,,,
148,The Purge: Election Year,Uni.,"$31,515,110",7/1/2016,,,,7,2010,,,
154,The Sum of All Fears,Par.,"$31,178,526",5/31/2002,,,,7,2012,,,
155,Home Alone 2: Lost in New York,Fox,"$31,126,882",11/20/1992,,,,4,2010,,,
156,Hannah Montana/Miley Cyrus: Best of Both Worlds Concert Tour,BV,"$31,117,834",2/1/2008,,,,3,2017,,,
157,Elf,NL,"$31,113,501",11/7/2003,,,,6,2012,,,
159,Four Christmases,WB (NL),"$31,069,826",11/26/2008,,,,8,2015,,,
163,Step Brothers,Sony,"$30,940,732",7/25/2008,,,,7,2016,,,
164,Little Fockers,Uni.,"$30,833,665",12/22/2010,,,,7,2016,,,
170,Saving Private Ryan,DW,"$30,576,104",7/24/1998,,,,7,2015,,,
171,The Pacifier,BV,"$30,552,694",3/4/2005,,,,6,2014,,,
173,The Happening,Fox,"$30,517,109",6/13/2008,,,,11,2016,,,
174,Just Go With It,Sony,"$30,514,732",2/11/2011,,,,7,2010,,,
175,The Day the Earth Stood Still (2008),Fox,"$30,480,153",12/12/2008,,,,7,2017,,,
176,Dear John,SGem,"$30,468,614",2/5/2010,,,,2,2010,,,
177,John Wick: Chapter Two,LG/S,"$30,436,123",2/10/2017,,,,6,2012,,,
178,Night at the Museum,Fox,"$30,433,781",12/22/2006,,,,11,2014,,,
181,Maze Runner: The Scorch Trials,Fox,"$30,316,510",9/18/2015,,,,10,2013,,,
182,Cloudy with a Chance of Meatballs,Sony,"$30,304,648",9/18/2009,,,,6,2010,,,
183,America's Sweethearts,SonR,"$30,181,877",7/20/2001,,,,7,2015,,,
185,The Lion King (in 3D),BV,"$30,151,614",9/16/2011,,,,2,2015,,,
187,Django Unchained,Wein.,"$30,122,888",12/25/2012,,,,6,2011,,,
191,DodgeBall: A True Underdog Story,Fox,"$30,070,196",6/18/2004,,,,8,2011,,,
192,Lemony Snicket's A Series of Unfortunate Events,Par.,"$30,061,756",12/17/2004,,,,12,2014,,,
194,Panic Room,Sony,"$30,056,751",3/29/2002,,,,3,2014,,,
195,The Exorcism of Emily Rose,SGem,"$30,054,300",9/9/2005,,,,5,2012,,,
196,Saw V,LGF,"$30,053,954",10/24/2008,,,,5,2015,,,
198,A Christmas Carol (2009),BV,"$30,051,075",11/6/2009,,,,6,2012,,,
199,Tyler Perry's Madea's Family Reunion,LGF,"$30,030,661",2/24/2006,,,,10,2015,,,
6,The Purge: Anarchy,Uni.,"$29,816,675",7/18/2014,"Anthony Russo, Joe Russo",,tt4154756,4,2018,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Fantasy","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (Captain America created by), Jack Kirby (Captain America created by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Jim Starlin (Thanos,  Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Steve Englehart (Mantis created by), Don Heck (Mantis created by)"
7,Elysium,TriS,"$29,807,393",8/9/2013,J.J. Abrams,,tt2488496,12,2015,"Harrison Ford, Mark Hamill, Carrie Fisher, Adam Driver","Action, Adventure, Fantasy","Lawrence Kasdan, J.J. Abrams, Michael Arndt, George Lucas (based on characters created by)"
8,Hercules (2014),Par.,"$29,800,263",7/25/2014,Rian Johnson,,tt2527336,12,2017,"Mark Hamill, Carrie Fisher, Adam Driver, Daisy Ridley","Action, Adventure, Fantasy","Rian Johnson, George Lucas (based on characters created by)"
9,Constantine,WB,"$29,769,098",2/18/2005,Colin Trevorrow,,tt0369610,6,2015,"Chris Pratt, Bryce Dallas Howard, Irrfan Khan, Vincent D'Onofrio","Action, Adventure, Sci-Fi","Rick Jaffa (screenplay by), Amanda Silver (screenplay by), Colin Trevorrow (screenplay by), Derek Connolly (screenplay by), Rick Jaffa (story by), Amanda Silver (story by), Michael Crichton (based on the characters created by)"
10,What Lies Beneath,DW,"$29,702,959",7/21/2000,,,,5,2012,,,
11,The Flintstones,Uni.,"$29,688,730",5/27/1994,Ryan Coogler,,tt1825683,2,2018,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira","Action, Adventure, Sci-Fi","Ryan Coogler, Joe Robert Cole, Stan Lee (based on the Marvel Comics by), Jack Kirby (based on the Marvel Comics by)"
12,Dark Shadows,WB,"$29,685,274",5/11/2012,Joss Whedon,,tt2395427,5,2015,"Robert Downey Jr., Chris Hemsworth, Mark Ruffalo, Chris Evans","Action, Adventure, Sci-Fi","Joss Whedon, Stan Lee (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by), Joe Simon (character created by: Captain America), Jack Kirby (character created by: Captain America), Jim Starlin (character created by: Thanos)"
13,Daddy's Home 2,Par.,"$29,651,193",11/10/2017,Brad Bird,,tt3606756,6,2018,"Craig T. Nelson, Holly Hunter, Sarah Vowell, Huck Milner","Animation, Action, Adventure",Brad Bird
14,Creed,WB (NL),"$29,632,823",11/25/2015,"Anthony Russo, Joe Russo",,tt3498820,5,2016,"Chris Evans, Robert Downey Jr., Scarlett Johansson, Sebastian Stan","Action, Adventure, Sci-Fi","Christopher Markus (screenplay by), Stephen McFeely (screenplay by), Joe Simon (based on the Marvel comics by), Jack Kirby (based on the Marvel comics by)"
15,Insidious: The Last Key,Uni.,"$29,581,355",1/5/2018,,,,3,2017,,,
16,Mission: Impossible - Ghost Protocol,Par.,"$29,556,629",12/21/2011,Shane Black,,tt1300854,5,2013,"Robert Downey Jr., Gwyneth Paltrow, Don Cheadle, Guy Pearce","Action, Adventure, Sci-Fi","Drew Pearce (screenplay by), Shane Black (screenplay by), Stan Lee (based on the Marvel comic book by), Don Heck (based on the Marvel comic book by), Larry Lieber (based on the Marvel comic book by), Jack Kirby (based on the Marvel comic book by), Warren Ellis (based on the ""Extremis"" mini-series written by), Adi Granov (based on the ""Extremis"" mini-series illustrated by)"
17,Pocahontas,BV,"$29,531,619",6/23/1995,David Yates,,tt1201607,7,2011,"Ralph Fiennes, Michael Gambon, Alan Rickman, Daniel Radcliffe","Adventure, Drama, Fantasy","Steve Kloves (screenplay), J.K. Rowling (novel)"
18,Justin Bieber: Never Say Never,Par.,"$29,514,054",2/11/2011,Zack Snyder,,tt2975590,3,2016,"Ben Affleck, Henry Cavill, Amy Adams, Jesse Eisenberg","Action, Adventure, Fantasy","Chris Terrio, David S. Goyer, Bob Kane (Batman created by), Bill Finger (Batman created by), Jerry Siegel (Superman created by), Joe Shuster (Superman created by), William Moulton Marston (character created by: Wonder Woman)"
19,Gran Torino,WB,"$29,484,388",1/9/2009,Christopher Nolan,,tt1345836,7,2012,"Christian Bale, Gary Oldman, Tom Hardy, Joseph Gordon-Levitt","Action, Thriller","Jonathan Nolan (screenplay), Christopher Nolan (screenplay), Christopher Nolan (story), David S. Goyer (story), Bob Kane (characters)"
21,Scooby-Doo 2: Monsters Unleashed,WB,"$29,438,331",3/26/2004,Francis Lawrence,,tt1951264,11,2013,"Jennifer Lawrence, Liam Hemsworth, Jack Quaid, Taylor St. Clair","Action, Adventure, Mystery","Simon Beaufoy (screenplay), Michael Arndt (screenplay), Suzanne Collins (novel)"
22,Indiana Jones and the Last Crusade,Par.,"$29,355,021",5/24/1989,Gareth Edwards,,tt3748528,12,2016,"Felicity Jones, Diego Luna, Alan Tudyk, Donnie Yen","Action, Adventure, Sci-Fi","Chris Weitz (screenplay by), Tony Gilroy (screenplay by), John Knoll (story by), Gary Whitta (story by), George Lucas (based on characters created by)"
23,A.I. Artificial Intelligence,WB,"$29,352,630",6/29/2001,Gary Ross,,tt1392170,3,2012,"Stanley Tucci, Wes Bentley, Jennifer Lawrence, Willow Shields","Adventure, Sci-Fi, Thriller","Gary Ross (screenplay), Suzanne Collins (screenplay), Billy Ray (screenplay), Suzanne Collins (novel)"
25,Beverly Hills Chihuahua,BV,"$29,300,465",10/3/2008,J.A. Bayona,,tt4881806,6,2018,"Chris Pratt, Bryce Dallas Howard, Rafe Spall, Justice Smith","Action, Adventure, Sci-Fi","Derek Connolly, Colin Trevorrow, Michael Crichton (based on characters created by)"
26,Tyler Perry's Why Did I Get Married Too?,LGF,"$29,289,537",4/2/2010,James Wan,,tt2820852,4,2015,"Vin Diesel, Paul Walker, Jason Statham, Michelle Rodriguez","Action, Crime, Thriller","Chris Morgan, Gary Scott Thompson (characters)"
27,Think Like a Man Too,SGem,"$29,241,911",6/20/2014,James Gunn,,tt3896198,5,2017,"Chris Pratt, Zoe Saldana, Dave Bautista, Vin Diesel","Action, Adventure, Sci-Fi","James Gunn, Dan Abnett (based on the Marvel comics by), Andy Lanning (based on the Marvel comics by), Steve Englehart (Star-Lord created by), Steve Gan (Star-Lord created by), Jim Starlin (Gamora and Drax created by), Stan Lee (Groot created by), Larry Lieber (Groot created by), Jack Kirby (Groot created by), Bill Mantlo (Rocket Raccoon created by), Keith Giffen (Rocket Raccoon created by), Steve Gerber (Howard the Duck created by), Val Mayerik (Howard the Duck created by)"
29,The Lone Ranger,BV,"$29,210,849",7/3/2013,Bill Condon,,tt1673434,11,2012,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Peter Facinelli","Adventure, Drama, Fantasy","Melissa Rosenberg (screenplay), Stephenie Meyer (novel)"
30,The Blair Witch Project,Art.,"$29,207,381",7/30/1999,N/A,,tt2395475,11,2011,Juley Ross,Short,N/A
32,Toy Story,BV,"$29,140,617",11/22/1995,,,,6,2016,,,
33,Sin City,Dim.,"$29,120,273",4/1/2005,,,,8,2016,,,
34,Spy,Fox,"$29,085,719",6/5/2015,,,,2,2016,,,
35,The Divergent Series: Allegiant,LG/S,"$29,027,348",3/18/2016,,,,5,2010,,,
36,Doctor Dolittle,Fox,"$29,014,324",6/26/1998,,,,5,2018,,,
37,The Santa Clause 2,BV,"$29,008,696",11/1/2002,,,,11,2010,,,
38,Paranormal Activity 4,Par.,"$29,003,866",10/19/2012,,,,9,2017,,,
39,Jackass: Number Two,Par.,"$29,002,002",9/22/2006,,,,11,2017,,,
40,Inside Man,Uni.,"$28,954,945",3/24/2006,,,,11,2014,,,
42,Non-Stop,Uni.,"$28,875,635",2/28/2014,,,,7,2017,,,
