,Title,Studio,Opening,Date
6,Avengers: Infinity War,BV,"$257,698,183 ",4/27/18
7,Star Wars: The Force Awakens,BV,"$247,966,675 ",12/18/15
8,Star Wars: The Last Jedi,BV,"$220,009,584 ",12/15/17
9,Jurassic World,Uni.,"$208,806,270 ",6/12/15
10,Marvel's The Avengers,BV,"$207,438,708 ",5/4/12
11,Black Panther,BV,"$202,003,951 ",2/16/18
12,Avengers: Age of Ultron,BV,"$191,271,109 ",5/1/15
13,Incredibles 2,BV,"$182,687,905 ",6/15/18
14,Captain America: Civil War,BV,"$179,139,142 ",5/6/16
15,Beauty and the Beast (2017),BV,"$174,750,616 ",3/17/17
16,Iron Man 3,BV,"$174,144,585 ",5/3/13
17,Harry Potter and the Deathly Hallows Part 2,WB,"$169,189,427 ",7/15/11
18,Batman v Superman: Dawn of Justice,WB,"$166,007,347 ",3/25/16
19,The Dark Knight Rises,WB,"$160,887,295 ",7/20/12
20,The Dark Knight,WB,"$158,411,483 ",7/18/08
21,The Hunger Games: Catching Fire,LGF,"$158,074,286 ",11/22/13
22,Rogue One: A Star Wars Story,BV,"$155,081,681 ",12/16/16
23,The Hunger Games,LGF,"$152,535,747 ",3/23/12
24,Spider-Man 3,Sony,"$151,116,516 ",5/4/07
25,Jurassic World: Fallen Kingdom,Uni.,"$148,024,610 ",6/22/18
26,Furious 7,Uni.,"$147,187,040 ",4/3/15
27,Guardians of the Galaxy Vol. 2,BV,"$146,510,104 ",5/5/17
28,The Twilight Saga: New Moon,Sum.,"$142,839,137 ",11/20/09
29,The Twilight Saga: Breaking Dawn Part 2,LG/S,"$141,067,634 ",11/16/12
30,The Twilight Saga: Breaking Dawn Part 1,Sum.,"$138,122,261 ",11/18/11
31,Pirates of the Caribbean: Dead Man's Chest,BV,"$135,634,554 ",7/7/06
32,Finding Dory,BV,"$135,060,273 ",6/17/16
33,Suicide Squad,WB,"$133,682,248 ",8/5/16
34,Deadpool,Fox,"$132,434,639 ",2/12/16
35,Iron Man 2,Par.,"$128,122,480 ",5/7/10
36,Deadpool 2,Fox,"$125,507,153 ",5/18/18
37,Harry Potter and the Deathly Hallows Part 1,WB,"$125,017,372 ",11/19/10
38,It,WB (NL),"$123,403,419 ",9/8/17
39,Thor: Ragnarok,BV,"$122,744,989 ",11/3/17
40,The Hunger Games: Mockingjay - Part 1,LGF,"$121,897,634 ",11/21/14
41,Shrek the Third,P/DW,"$121,629,270 ",5/18/07
42,Spider-Man: Homecoming,Sony,"$117,027,503 ",7/7/17
43,Man of Steel,WB,"$116,619,362 ",6/14/13
44,Alice in Wonderland (2010),BV,"$116,101,023 ",3/5/10
45,Minions,Uni.,"$115,718,405 ",7/10/15
46,Spider-Man,Sony,"$114,844,116 ",5/3/02
47,Pirates of the Caribbean: At World's End,BV,"$114,732,820 ",5/25/07
48,Toy Story 3,BV,"$110,307,189 ",6/18/10
49,Transformers: Revenge of the Fallen,P/DW,"$108,966,307 ",6/24/09
50,Star Wars: Episode III - Revenge of the Sith,Fox,"$108,435,841 ",5/19/05
51,Shrek 2,DW,"$108,037,878 ",5/19/04
52,The Secret Life of Pets,Uni.,"$104,352,905 ",7/8/16
53,The Jungle Book (2016),BV,"$103,261,464 ",4/15/16
54,Wonder Woman,WB,"$103,251,471 ",6/2/17
55,X-Men: The Last Stand,Fox,"$102,750,665 ",5/26/06
56,Harry Potter and the Goblet of Fire,WB,"$102,685,961 ",11/18/05
57,The Hunger Games: Mockingjay - Part 2,LGF,"$102,665,981 ",11/20/15
58,Indiana Jones and the Kingdom of the Crystal Skull,Par.,"$100,137,835 ",5/22/08
59,Transformers: Age of Extinction,Par.,"$100,038,390 ",6/27/14
60,The Fate of the Furious,Uni.,"$98,786,705 ",4/14/17
61,Iron Man,Par.,"$98,618,668 ",5/2/08
62,Transformers: Dark of the Moon,P/DW,"$97,852,865 ",6/29/11
63,Fast & Furious 6,Uni.,"$97,375,245 ",5/24/13
64,Captain America: The Winter Soldier,BV,"$95,023,721 ",4/4/14
65,Guardians of the Galaxy,BV,"$94,320,883 ",8/1/14
66,Justice League,WB,"$93,842,239 ",11/17/17
67,Harry Potter and the Prisoner of Azkaban,WB,"$93,687,367 ",6/4/04
68,Godzilla (2014),WB,"$93,188,384 ",5/16/14
69,The Matrix Reloaded,WB,"$91,774,413 ",5/15/03
70,The Amazing Spider-Man 2,Sony,"$91,608,337 ",5/2/14
71,X-Men: Days of Future Past,Fox,"$90,823,660 ",5/23/14
72,Inside Out,BV,"$90,440,272 ",6/19/15
73,Harry Potter and the Sorcerer's Stone,WB,"$90,294,621 ",11/16/01
74,Pirates of the Caribbean: On Stranger Tides,BV,"$90,151,958 ",5/20/11
75,American Sniper,WB,"$89,269,066 ",1/16/15
76,Logan,Fox,"$88,411,916 ",3/3/17
77,Skyfall,Sony,"$88,364,714 ",11/9/12
78,Harry Potter and the Chamber of Secrets,WB,"$88,357,488 ",11/15/02
79,Spider-Man 2,Sony,"$88,156,227 ",6/30/04
80,Fast Five,Uni.,"$86,198,765 ",4/29/11
81,The Hangover Part II,WB,"$85,946,294 ",5/26/11
82,Thor: The Dark World,BV,"$85,737,841 ",11/8/13
83,X2: X-Men United,Fox,"$85,558,731 ",5/2/03
84,Fifty Shades of Grey,Uni.,"$85,171,450 ",2/13/15
85,Doctor Strange,BV,"$85,058,311 ",11/4/16
86,X-Men Origins: Wolverine,Fox,"$85,058,003 ",5/1/09
87,The Hobbit: An Unexpected Journey,WB (NL),"$84,617,303 ",12/14/12
88,Solo: A Star Wars Story,BV,"$84,420,489 ",5/25/18
89,The Passion of the Christ,NM,"$83,848,082 ",2/25/04
90,Despicable Me 2,Uni.,"$83,517,315 ",7/3/13
91,Monsters University,BV,"$82,429,469 ",6/21/13
92,Star Wars: Episode II - Attack of the Clones,Fox,"$80,027,814 ",5/16/02
93,Oz The Great and Powerful,BV,"$79,110,453 ",3/8/13
94,Harry Potter and the Half-Blood Prince,WB,"$77,835,727 ",7/15/09
95,I Am Legend,WB,"$77,211,321 ",12/14/07
96,Harry Potter and the Order of the Phoenix,WB,"$77,108,414 ",7/11/07
97,The Da Vinci Code,Sony,"$77,073,388 ",5/19/06
98,Avatar,Fox,"$77,025,481 ",12/18/09
99,Star Trek,Par.,"$75,204,289 ",5/8/09
100,Zootopia,BV,"$75,063,401 ",3/4/16
101,Fantastic Beasts and Where To Find Them,WB,"$74,403,387 ",11/18/16
102,The Simpsons Movie,Fox,"$74,036,787 ",7/27/07
103,The Hobbit: The Desolation of Smaug,WB (NL),"$73,645,197 ",12/13/13
104,Austin Powers in Goldmember,NL,"$73,071,188 ",7/26/02
105,The Lord of the Rings: The Return of the King,NL,"$72,629,713 ",12/17/03
106,Dawn of the Planet of the Apes,Fox,"$72,611,427 ",7/11/14
107,Despicable Me 3,Uni.,"$72,434,025 ",6/30/17
108,The Lost World: Jurassic Park,Uni.,"$72,132,785 ",5/23/97
109,Fast and Furious,Uni.,"$70,950,500 ",4/3/09
110,300,WB,"$70,885,301 ",3/9/07
111,Shrek Forever After,P/DW,"$70,838,207 ",5/21/10
112,Transformers,P/DW,"$70,502,384 ",7/3/07
113,The Incredibles,BV,"$70,467,623 ",11/5/04
114,Spectre,Sony,"$70,403,148 ",11/6/15
115,Finding Nemo,BV,"$70,251,710 ",5/30/03
116,Dr. Seuss' The Lorax,Uni.,"$70,217,070 ",3/2/12
117,Star Trek Into Darkness,Par.,"$70,165,559 ",5/16/13
118,Twilight,Sum.,"$69,637,740 ",11/21/08
119,Maleficent,BV,"$69,431,298 ",5/30/14
120,The Bourne Ultimatum,Uni.,"$69,283,690 ",8/3/07
121,Pitch Perfect 2,Uni.,"$69,216,890 ",5/15/15
122,The LEGO Movie,WB,"$69,050,279 ",2/7/14
123,The Day After Tomorrow,Fox,"$68,743,584 ",5/28/04
124,Planet of the Apes (2001),Fox,"$68,532,960 ",7/27/01
125,The Mummy Returns,Uni.,"$68,139,035 ",5/4/01
126,Up,BV,"$68,108,790 ",5/29/09
127,Ice Age: The Meltdown,Fox,"$68,033,544 ",3/31/06
128,Bruce Almighty,Uni.,"$67,953,330 ",5/23/03
129,Cinderella (2015),BV,"$67,877,361 ",3/13/15
130,Quantum of Solace,Sony,"$67,528,882 ",11/14/08
131,Rush Hour 2,NL,"$67,408,222 ",8/3/01
132,Frozen,BV,"$67,391,326 ",11/27/13
133,World War Z,Par.,"$66,411,834 ",6/21/13
134,Brave,BV,"$66,323,594 ",6/22/12
135,Cars 2,BV,"$66,135,507 ",6/24/11
136,X-Men: Apocalypse,Fox,"$65,769,562 ",5/27/16
137,Thor,Par.,"$65,723,338 ",5/6/11
138,Teenage Mutant Ninja Turtles (2014),Par.,"$65,575,105 ",8/8/14
139,"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",BV,"$65,556,312 ",12/9/05
140,2012,Sony,"$65,237,614 ",11/13/09
141,Captain America: The First Avenger,Par.,"$65,058,524 ",7/22/11
142,War of the Worlds,Par.,"$64,878,725 ",6/29/05
143,The Twilight Saga: Eclipse,Sum.,"$64,832,191 ",6/30/10
144,Star Wars: Episode I - The Phantom Menace,Fox,"$64,820,970 ",5/19/99
145,Madagascar: Escape 2 Africa,P/DW,"$63,106,589 ",11/7/08
146,WALL-E,BV,"$63,087,526 ",6/27/08
147,Pirates of the Caribbean: Dead Men Tell No Tales,BV,"$62,983,253 ",5/26/17
148,Inception,WB,"$62,785,337 ",7/16/10
149,Hancock,Sony,"$62,603,879 ",7/2/08
150,"Monsters, Inc.",BV,"$62,577,067 ",11/2/01
151,Sherlock Holmes,WB,"$62,304,277 ",12/25/09
152,Hulk,Uni.,"$62,128,420 ",6/20/03
153,The Lord of the Rings: The Two Towers,NL,"$62,007,528 ",12/18/02
154,The Amazing Spider-Man,Sony,"$62,004,688 ",7/3/12
155,Clash of the Titans (2010),WB,"$61,235,105 ",4/2/10
156,Kong: Skull Island,WB,"$61,025,472 ",3/10/17
157,Madagascar 3: Europe's Most Wanted,P/DW,"$60,316,738 ",6/8/12
158,Kung Fu Panda,P/DW,"$60,239,130 ",6/6/08
159,Straight Outta Compton,Uni.,"$60,200,180 ",8/14/15
160,Cars,BV,"$60,119,509 ",6/9/06
161,Signs,BV,"$60,117,080 ",8/2/02
162,Monsters Vs. Aliens,P/DW,"$59,321,095 ",3/27/09
163,Star Trek Beyond,Par.,"$59,253,211 ",7/22/16
164,Jason Bourne,Uni.,"$59,215,365 ",7/29/16
165,Pearl Harbor,BV,"$59,078,912 ",5/25/01
166,Fantastic Four: Rise of the Silver Surfer,Fox,"$58,051,684 ",6/15/07
167,Hannibal,MGM,"$58,003,121 ",2/9/01
168,Mission: Impossible II,Par.,"$57,845,297 ",5/24/00
169,Toy Story 2,BV,"$57,388,839 ",11/24/99
170,Ant-Man,BV,"$57,225,526 ",7/17/15
171,22 Jump Street,Sony,"$57,071,445 ",6/13/14
172,Sex and the City,WB (NL),"$57,038,404 ",5/30/08
173,Moana,BV,"$56,631,401 ",11/23/16
174,Despicable Me,Uni.,"$56,397,125 ",7/9/10
175,War for the Planet of the Apes,Fox,"$56,262,929 ",7/14/17
176,Valentine's Day,WB (NL),"$56,260,707 ",2/12/10
177,Snow White and the Huntsman,Uni.,"$56,217,700 ",6/1/12
178,Big Hero 6,BV,"$56,215,889 ",11/7/14
179,Charlie and the Chocolate Factory,WB,"$56,178,450 ",7/15/05
180,Fantastic Four (2005),Fox,"$56,061,504 ",7/8/05
181,Gravity,WB,"$55,785,112 ",10/4/13
182,The Karate Kid,Sony,"$55,665,805 ",6/11/10
183,Mission: Impossible - Rogue Nation,Par.,"$55,520,089 ",7/31/15
184,The Incredible Hulk,Uni.,"$55,414,050 ",6/13/08
185,The SpongeBob Movie: Sponge Out of Water,Par.,"$55,365,012 ",2/6/15
186,Watchmen,WB,"$55,214,334 ",3/6/09
187,X-Men: First Class,Fox,"$55,101,604 ",6/3/11
188,How the Grinch Stole Christmas,Uni.,"$55,082,330 ",11/17/00
189,The Chronicles of Narnia: Prince Caspian,BV,"$55,034,805 ",5/16/08
190,Austin Powers: The Spy Who Shagged Me,NL,"$54,917,604 ",6/11/99
191,Rise of the Planet of the Apes,Fox,"$54,806,191 ",8/5/11
192,The Hobbit: The Battle of the Five Armies,WB (NL),"$54,724,334 ",12/17/14
193,G.I. Joe: The Rise of Cobra,Par.,"$54,713,046 ",8/7/09
194,Divergent,LG/S,"$54,607,747 ",3/21/14
195,MIB 3,Sony,"$54,592,779 ",5/25/12
196,San Andreas,WB (NL),"$54,588,173 ",5/29/15
197,X-Men,Fox,"$54,471,475 ",7/14/00
198,Ted,Uni.,"$54,415,205 ",6/29/12
199,The Martian,Fox,"$54,308,575 ",10/2/15
200,Night at the Museum: Battle of the Smithsonian,Fox,"$54,173,286 ",5/22/09
201,Scooby-Doo,WB,"$54,155,312 ",6/14/02
202,Cars 3,BV,"$53,688,680 ",6/16/17
203,Green Lantern,WB,"$53,174,303 ",6/17/11
204,The Wolverine,Fox,"$53,113,752 ",7/26/13
205,The LEGO Batman Movie,WB,"$53,003,468 ",2/10/17
206,Batman Forever,WB,"$52,784,433 ",6/16/95
207,Paranormal Activity 3,Par.,"$52,568,183 ",10/21/11
208,Superman Returns,WB,"$52,535,096 ",6/28/06
209,The Bourne Supremacy,Uni.,"$52,521,865 ",7/23/04
210,The Divergent Series: Insurgent,LG/S,"$52,263,680 ",3/20/15
211,"I, Robot",Fox,"$52,179,887 ",7/16/04
212,Men in Black II,Sony,"$52,148,751 ",7/3/02
213,Home (2015),Fox,"$52,107,731 ",3/27/15
214,Van Helsing,Uni.,"$51,748,040 ",5/7/04
215,8 Mile,Uni.,"$51,240,555 ",11/8/02
216,Men in Black,Sony,"$51,068,455 ",7/2/97
217,Prometheus,Fox,"$51,050,101 ",6/8/12
218,Wanted,Uni.,"$50,927,085 ",6/27/08
219,Coco,BV,"$50,802,605 ",11/22/17
220,Jurassic Park III,Uni.,"$50,771,645 ",7/18/01
221,The Village,BV,"$50,746,142 ",7/30/04
222,Dunkirk,WB,"$50,513,488 ",7/21/17
223,2 Fast 2 Furious,Uni.,"$50,472,480 ",6/6/03
224,Jackass 3-D,Par.,"$50,353,641 ",10/15/10
225,Mr. & Mrs. Smith,Fox,"$50,342,878 ",6/10/05
226,Independence Day,Fox,"$50,228,264 ",7/3/96
227,A Quiet Place,Par.,"$50,203,562 ",4/6/18
228,The Boss Baby,Fox,"$50,198,902 ",3/31/17
229,King Kong,Uni.,"$50,130,145 ",12/14/05
230,The Great Gatsby (2013),WB,"$50,085,185 ",5/10/13